title,story_points,state,type,priority,board_id,sprint_id,issue_id
campagne home pagina beschikbaar maken op een aparte url indien er een campagne loopt,1.0,closed,Story,Normal,1,1,90382
campagne home pagina vervangen door campagne pagina indien campagne actief,1.0,closed,Story,Normal,1,1,90381
campagne mogelijkheid om een campagne pagina te previewen voordat deze live,1.0,closed,Story,Normal,1,1,90380
campagne mogelijkheid om campagne pagina te schedulen online offline datum,1.0,closed,Story,Normal,1,1,90379
influencers blok dummy content invoeren,0.5,closed,Story,Normal,1,1,90377
influencers blok opmaak nalopen en tweaken,0.5,closed,Story,Normal,1,1,90376
influencers blok template koppelen aan beheer opties uit cms,1.0,closed,Story,Normal,1,1,90375
influencers blok beheer opties inrichten cms,1.0,closed,Story,Normal,1,1,90374
influencers blok mogelijkheid om meerdere regels tekst te tonen 4 regels,1.0,closed,Story,Normal,1,1,90370
influencers blok mogelijkheid vierkante thumbnails tonen,1.0,closed,Story,Normal,1,1,90369
slider blok template koppelen aan beheer opties uit cms,1.0,closed,Story,Normal,1,1,90368
slider blok beheer opties inrichten cms,1.0,closed,Story,Normal,1,1,90367
paragraaf blok opmaak nalopen en tweaken,0.5,closed,Story,Normal,1,1,90364
paragraaf blok template koppelen aan beheer opties uit cms,1.0,closed,Story,Normal,1,1,90363
paragraaf blok beheer opties inrichten cms,1.0,closed,Story,Normal,1,1,90362
header blok template koppelen aan beheer opties uit cms,1.0,closed,Story,Normal,1,1,90358
header blok beheer opties inrichten cms,1.0,closed,Story,Normal,1,1,90357
notification trigger plaatsen v2 handlers,1.5,closed,Taak,Normal,1,1,73606
marshmallow serializatie dumping implementeren,3.0,closed,Taak,Normal,1,1,72627
marshmallow validatie loading implementeren,4.0,closed,Taak,Normal,1,1,72626
meldingen overnemen functionaliteit meldingen,0.5,closed,Story,Normal,1,1,72423
actions koppelen toevoegen nieuw verwijderen,1.5,closed,Story,Normal,1,1,72413
laatste meldingen overnemen van meldingen,0.25,closed,Story,Normal,1,1,72410
gulp taken aanmaken en zorgen voor goede output folder,3.0,closed,Story,Normal,1,1,72392
link van knoppen emails ook als tekst toevoegen onder de knop voor het geval dit gefilterd wordt,1.0,closed,Verbetering,Normal,1,1,83812
grijstinten zijn minder duidelijk te weinig contrast,0.5,closed,Nieuw kenmerk,Normal,1,1,75263
url moet veranderd worden het participatiepunt,1.0,closed,Change,Normal,1,1,75254
vakje telefoonnummer kan ik ook letters invullen praktisch als er alleen cijfers ingevuld kunnen worden,1.0,closed,Change,Normal,1,1,75253
als er op de vvn logo wordt geklikt wordt er naar de map gegaan ipv homepage op sommige paginas niet consistent,1.0,closed,Taak,Normal,1,1,75252
via de link httpsmeldpuntveiligverkeeracclabelanl kom je bij de kaart uit ipv homepage,1.0,closed,Taak,Normal,1,1,75251
vanuit melding startpakket kunnen goedkeuren,1.0,closed,Verbetering,Normal,1,1,75237
tab kom actie waar staan de contactgegevens,1.0,closed,Taak,Normal,1,1,75223
emailnotificatie na gekoppeld worden aan dossier,1.0,closed,Taak,Normal,1,1,75220
buurtactie aanmaken dropdown voor verantwoordelijke leeg het label zegt selecteer een categorie,0.2,closed,Taak,Normal,1,1,74472
als nieuwe gebruiker heb ik geen rechten om mijn melding te bekijken,1.5,closed,Taak,Normal,1,1,74432
melding maken comment field optioneel maken,0.2,closed,Taak,Normal,1,1,74431
kan geen startpakket downloaden als niet ingelogde gebruiker,1.0,closed,Taak,Normal,1,1,74428
put op department zegt dat email verplicht,1.0,closed,Taak,Normal,1,1,74408
